driverId,best_race_lap_ms,best_qualifying_ms,diff_ms
1,66719,63262.0,3457.0
1,66719,85099.0,-18380.0
1,66719,71767.0,-5048.0
1,66719,74769.0,-8050.0
1,66719,103282.0,-36563.0
1,66719,79346.0,-12627.0
1,66719,96408.0,-29689.0
1,66719,92030.0,-25311.0
1,66719,87302.0,-20583.0
1,66719,75262.0,-8543.0
1,66719,92321.0,-25602.0
1,66719,67699.0,-980.0
1,66719,94779.0,-28060.0
1,66719,62951.0,3768.0
1,66719,77825.0,-11106.0
1,66719,73447.0,-6728.0
1,66719,84303.0,-17584.0
1,66719,85217.0,-18498.0
1,66719,75584.0,-8865.0
1,66719,101252.0,-34533.0
1,66719,78887.0,-12168.0
1,66719,75144.0,-8425.0
1,66719,91304.0,-24585.0
1,66719,85390.0,-18671.0
1,66719,76652.0,-9933.0
1,66719,73706.0,-6987.0
1,66719,112560.0,-45841.0
1,66719,87264.0,-20545.0
1,66719,95332.0,-28613.0
1,66719,89385.0,-22666.0
1,66719,74411.0,-7692.0
1,66719,77968.0,-11249.0
1,66719,76741.0,-10022.0
1,66719,71095.0,-4376.0
1,66719,101450.0,-34731.0
1,66719,90248.0,-23529.0
1,66719,64067.0,2652.0
1,66719,64014.0,2705.0
1,66719,86023.0,-19304.0
1,66719,75419.0,-8700.0
1,66719,116229.0,-49510.0
1,66719,68923.0,-2204.0
1,66719,79651.0,-12932.0
1,66719,104050.0,-37331.0
1,66719,82868.0,-16149.0
1,66719,93119.0,-26400.0
1,66719,76020.0,-9301.0
1,66719,67934.0,-1215.0
1,66719,80827.0,-14108.0
1,66719,87511.0,-20792.0
1,66719,82480.0,-15761.0
1,66719,91048.0,-24329.0
1,66719,90343.0,-23624.0
1,66719,78825.0,-12106.0
1,66719,80470.0,-13751.0
1,66719,89625.0,-22906.0
1,66719,79512.0,-12793.0
1,66719,72560.0,-5841.0
1,66719,102924.0,-36205.0
1,66719,82891.0,-16172.0
1,66719,100428.0,-33709.0
1,66719,65475.0,1244.0
1,66719,91765.0,-25046.0
1,66719,78035.0,-11316.0
1,66719,105420.0,-38701.0
1,66719,70648.0,-3929.0
1,66719,81524.0,-14805.0
1,66719,109466.0,-42747.0
1,66719,90261.0,-23542.0
1,66719,94947.0,-28228.0
1,66719,78084.0,-11365.0
1,66719,71539.0,-4820.0
1,66719,84508.0,-17789.0
1,66719,90384.0,-23665.0
1,66719,89223.0,-22504.0
1,66719,77104.0,-10385.0
1,66719,101177.0,-34458.0
1,66719,87846.0,-21127.0
1,66719,71725.0,-5006.0
1,66719,72818.0,-6099.0
1,66719,80426.0,-13707.0
1,66719,64819.0,1900.0
1,66719,87211.0,-20492.0
